lambda	n	k
0.2500	2.350461	.2113379
0.2600	2.355171	.1801257
0.2700	2.351314	.1544102
0.2800	2.341429	.1331719
0.2900	2.327366	.1156021
0.3000	2.310482	.1010547
0.3100	2.291769	8.900975E-02
0.3200	2.271956	7.904635E-02
0.3300	2.251578	7.082141E-02
0.3400	2.231025	6.405398E-02
0.3500	2.210578	5.851254E-02
0.3600	2.190439	5.400554E-02
0.3700	2.170753	5.037373E-02
0.3800	2.151616	4.748415E-02
0.3900	2.133092	4.522533E-02
0.4000	2.11522	4.350352E-02
0.4100	2.098022	4.223955E-02
0.4200	2.081505	4.136638E-02
0.4300	2.065663	4.082706E-02
0.4400	2.050488	4.057307E-02
0.4500	2.035964	4.056298E-02
0.4600	2.02207	.0407613
0.4700	2.008785	4.113761E-02
0.4800	1.996085	4.166571E-02
0.4900	1.983947	4.232306E-02
0.5000	1.972345	4.309022E-02
0.5100	1.961256	4.395034E-02
0.5200	1.950656	4.488888E-02
0.5300	1.940521	4.589323E-02
0.5400	1.930828	4.695242E-02
0.5500	1.921556	4.805696E-02
0.5600	1.912684	4.919859E-02
0.5700	1.904192	5.037013E-02
0.5800	1.896061	5.156533E-02
0.5900	1.888273	5.277875E-02
0.6000	1.88081	5.400567E-02
0.6100	1.873656	5.524196E-02
0.6200	1.866796	5.648406E-02
0.6300	1.860214	5.772886E-02
0.6400	1.853898	5.897364E-02
0.6500	1.847834	6.021609E-02
0.6600	1.842009	6.145417E-02
0.6700	1.836412	6.268614E-02
0.6800	1.831031	6.391049E-02
0.6900	1.825857	6.512594E-02
0.7000	1.820879	6.633137E-02
0.7100	1.816089	6.752584E-02
0.7200	1.811476	6.870857E-02
0.7300	1.807033	6.987888E-02
0.7400	1.802752	7.103622E-02
0.7500	1.798626	7.218014E-02
0.7600	1.794647	7.331026E-02
0.7700	1.790808	7.442628E-02
0.7800	1.787104	7.552799E-02
0.7900	1.783528	7.661521E-02
0.8000	1.780075	7.768784E-02
0.8100	1.776739	.0787458
0.8200	1.773515	7.978907E-02
0.8300	1.770399	8.081765E-02
0.8400	1.767385	8.183157E-02
0.8500	1.76447	.0828309
