eV	n	k
0.004	3.268	0.00446
0.008	3.37	0.01246
0.012	3.658	0.0388
0.014	4.037	0.09003
0.015	4.422	0.16416
0.016	5.207	0.39591
0.0162	5.474	0.50319
0.0164	5.808	0.66274
0.0166	6.238	0.91538
0.0168	6.795	1.34909
0.017	7.484	2.16893
0.0171	7.823	2.85178
0.0172	8.034	3.80965
0.0173	7.891	5.03732
0.0174	7.148	6.28086
0.01745	6.555	6.75856
0.0175	5.882	7.07673
0.0176	4.543	7.23899
0.0177	3.459	6.97949
0.0178	2.674	6.55134
0.0179	2.122	6.09241
0.018	1.728	5.65692
0.0182	1.228	4.90513
0.0184	0.936	4.29929
0.0186	0.753	3.80264
0.0188	0.63	3.38451
0.019	0.545	3.0231
0.02	0.384	1.64902
0.021	0.724	0.45615
0.022	1.407	0.14313
0.023	1.739	0.07777
0.024	1.938	0.04993
0.025	2.072	0.03498
0.03	2.382	0.01063
0.04	2.56	0.00279
0.05	2.619	0.00119
0.06	2.647	0.00063
0.07	2.662	0.00037
0.08	2.672	0.00024
0.09	2.679	0.00017
0.1	2.683	0.00012
0.2	2.697	0
0.3	2.7	0
0.4	2.701	0
0.5	2.703	0
0.55	2.707	0
0.6	2.712	0
0.65	2.717	0
0.7	2.723	0
0.75	2.729	0
0.8	2.736	0
0.85	2.744	0
0.9	2.752	0
0.95	2.762	0
1	2.773	0
1.05	2.785	0
1.1	2.798	0
1.15	2.813	0
1.2	2.83	0
1.254	2.852	0
1.304	2.874	0
1.354	2.898	0
1.405	2.932	0
1.455	2.989	0.00024
1.5	3.037	0.1
1.518	3.037	0.148
1.536	3.033	0.125
1.554	3.021	0.151
1.572	3.012	0.158
1.59	3.004	0.165
1.608	2.997	0.176
1.627	2.992	0.173
1.645	2.991	0.172
1.663	2.99	0.175
1.681	2.989	0.178
1.699	2.989	0.181
1.717	2.989	0.187
1.735	2.99	0.191
1.753	2.99	0.198
1.771	2.992	0.197
1.789	2.994	0.203
1.807	2.995	0.209
1.825	2.997	0.211
1.843	3	0.214
1.861	3.002	0.214
1.88	3.005	0.217
1.898	3.009	0.219
1.916	3.013	0.218
1.934	3.016	0.22
1.952	3.019	0.225
1.97	3.023	0.231
1.988	3.027	0.234
2.006	3.031	0.24
2.024	3.035	0.245
2.042	3.04	0.25
2.06	3.044	0.251
2.078	3.048	0.258
2.096	3.054	0.26
2.114	3.059	0.261
2.133	3.064	0.265
2.151	3.07	0.268
