wavelength	n	k
250	2.417	0.366
255	2.413	0.3446
260	2.408	0.3241
265	2.402	0.3046
270	2.396	0.2861
275	2.39	0.2684
280	2.384	0.2515
285	2.377	0.2355
290	2.37	0.2202
295	2.363	0.2056
300	2.356	0.1917
305	2.349	0.1785
310	2.341	0.166
315	2.334	0.1541
320	2.326	0.1428
325	2.319	0.132
330	2.311	0.1218
335	2.303	0.1122
340	2.295	0.103
345	2.287	9.44E-02
350	2.28	8.62E-02
355	2.272	7.85E-02
360	2.264	7.13E-02
365	2.256	6.44E-02
370	2.249	5.80E-02
375	2.241	5.21E-02
380	2.233	4.65E-02
385	2.226	4.12E-02
390	2.218	3.64E-02
395	2.211	3.19E-02
400	2.203	2.78E-02
405	2.196	2.40E-02
410	2.189	2.05E-02
415	2.182	1.74E-02
420	2.175	1.45E-02
425	2.168	1.20E-02
430	2.161	9.79E-03
435	2.154	7.86E-03
440	2.148	6.22E-03
445	2.142	4.85E-03
450	2.135	3.75E-03
455	2.129	2.92E-03
460	2.124	2.34E-03
465	2.118	2.01E-03
470	2.113	1.94E-03
475	2.108	2.00E-03
480	2.103	2.07E-03
485	2.099	2.14E-03
490	2.095	2.21E-03
495	2.091	2.29E-03
500	2.087	2.36E-03
505	2.083	2.44E-03
510	2.08	2.51E-03
515	2.076	2.59E-03
520	2.073	2.67E-03
525	2.07	2.75E-03
530	2.066	2.84E-03
535	2.063	2.92E-03
540	2.06	3.01E-03
545	2.057	3.10E-03
550	2.054	3.19E-03
555	2.051	3.28E-03
560	2.049	3.37E-03
565	2.046	3.47E-03
570	2.043	3.57E-03
575	2.04	3.67E-03
580	2.038	3.77E-03
585	2.035	3.87E-03
590	2.033	3.98E-03
595	2.03	4.08E-03
600	2.028	4.19E-03
605	2.025	4.30E-03
610	2.023	4.41E-03
615	2.021	4.53E-03
620	2.018	4.64E-03
625	2.016	4.76E-03
630	2.014	4.88E-03
635	2.011	5.01E-03
640	2.009	5.13E-03
645	2.007	5.26E-03
650	2.005	5.39E-03
655	2.002	5.52E-03
660	2	5.65E-03
665	1.998	5.79E-03
670	1.996	5.92E-03
675	1.994	6.06E-03
680	1.992	6.20E-03
685	1.989	6.35E-03
690	1.987	6.49E-03
695	1.985	6.64E-03
700	1.983	6.79E-03
705	1.981	6.95E-03
710	1.979	7.10E-03
715	1.977	7.26E-03
720	1.975	7.42E-03
725	1.973	7.58E-03
730	1.971	7.75E-03
735	1.969	7.92E-03
740	1.967	8.09E-03
745	1.965	8.26E-03
750	1.963	8.44E-03
755	1.961	8.61E-03
760	1.959	8.80E-03
765	1.957	8.98E-03
770	1.955	9.16E-03
775	1.953	9.35E-03
780	1.95	9.54E-03
785	1.948	9.74E-03
790	1.946	9.93E-03
795	1.944	1.01E-02
800	1.942	1.03E-02
805	1.94	1.05E-02
810	1.938	1.08E-02
815	1.936	1.10E-02
820	1.934	1.12E-02
825	1.932	1.14E-02
830	1.93	1.16E-02
835	1.928	1.18E-02
840	1.926	1.21E-02
845	1.924	1.23E-02
850	1.922	1.25E-02
855	1.92	1.28E-02
860	1.918	1.30E-02
865	1.916	1.32E-02
870	1.914	1.35E-02
875	1.912	1.37E-02
880	1.91	1.40E-02
885	1.908	1.42E-02
890	1.906	1.45E-02
895	1.904	1.47E-02
900	1.902	1.50E-02
905	1.9	1.53E-02
910	1.898	1.55E-02
915	1.896	1.58E-02
920	1.893	1.61E-02
925	1.891	1.64E-02
930	1.889	1.67E-02
935	1.887	1.69E-02
940	1.885	1.72E-02
945	1.883	1.75E-02
950	1.881	1.78E-02
955	1.879	1.81E-02
960	1.877	1.84E-02
965	1.874	1.87E-02
970	1.872	1.91E-02
975	1.87	1.94E-02
980	1.868	1.97E-02
985	1.866	2.00E-02
990	1.864	2.03E-02
995	1.861	2.07E-02
1000	1.859	2.10E-02
1005	1.857	2.14E-02
1010	1.855	2.17E-02
1015	1.853	2.20E-02
1020	1.85	2.24E-02
1025	1.848	2.27E-02
1030	1.846	2.31E-02
1035	1.844	2.35E-02
1040	1.841	2.38E-02
1045	1.839	2.42E-02
1050	1.837	2.46E-02
1055	1.835	2.50E-02
1060	1.832	2.54E-02
1065	1.83	2.57E-02
1070	1.828	2.61E-02
1075	1.825	2.65E-02
1080	1.823	2.69E-02
1085	1.821	2.73E-02
1090	1.818	2.78E-02
1095	1.816	2.82E-02
