Wavelength(nm)	n	k

206.63	1.23	1.91

208.04	0.941	2.141

209.47	0.9	2.191

210.92	0.933	2.192

212.39	0.952	2.204

213.88	0.97	2.211

215.39	0.987	2.222

216.92	0.997	2.232

218.47	1.007	2.243

220.05	1.017	2.259

221.65	1.027	2.278

223.27	1.038	2.3

224.92	1.052	2.325

226.59	1.07	2.35

228.29	1.094	2.375

230.01	1.123	2.4

231.76	1.153	2.42

233.53	1.187	2.433

235.33	1.22	2.442

237.16	1.251	2.446

239.02	1.278	2.442

240.91	1.299	2.436

242.83	1.308	2.431

244.78	1.311	2.429

246.76	1.31	2.434

248.77	1.305	2.447

250.81	1.301	2.468

252.89	1.301	2.493

255.01	1.304	2.524

257.16	1.308	2.558

259.35	1.316	2.593

261.57	1.328	2.63

263.83	1.341	2.67

266.14	1.358	2.712

268.48	1.376	2.756

270.86	1.397	2.802

273.29	1.421	2.849

275.76	1.446	2.899

278.28	1.473	2.954

280.84	1.503	3.012

283.45	1.538	3.076

286.11	1.578	3.146

288.82	1.627	3.224

291.58	1.687	3.31

294.39	1.765	3.405

297.26	1.868	3.507

300.19	2.003	3.605

303.17	2.176	3.682

306.22	2.379	3.719

309.32	2.591	3.703

312.49	2.786	3.641

315.73	2.952	3.549

319.03	3.086	3.442

322.4	3.191	3.329

325.84	3.278	3.217

329.36	3.348	3.105

332.96	3.403	2.995

336.63	3.441	2.89

340.39	3.467	2.794

344.23	3.484	2.708

348.16	3.498	2.628

352.18	3.508	2.553

356.3	3.513	2.484

360.51	3.515	2.423

364.82	3.52	2.367

369.24	3.527	2.307

373.76	3.527	2.244

378.4	3.518	2.184

383.15	3.5	2.132

388.03	3.479	2.088

393.03	3.454	2.049

398.16	3.428	2.022

403.43	3.402	2.005

408.83	3.38	1.996

414.39	3.363	1.994

420.1	3.351	1.996

425.96	3.343	2.002

432	3.34	2.012

438.21	3.341	2.025

444.59	3.347	2.041

451.17	3.357	2.058

457.94	3.373	2.079

464.92	3.395	2.102

472.12	3.424	2.128

479.55	3.461	2.155

487.21	3.506	2.184

495.11	3.563	2.218

503.29	3.639	2.251

511.73	3.743	2.282

520.46	3.892	2.276

529.5	4.036	2.187

538.85	4.11	2.062

548.54	4.133	1.957

558.59	4.136	1.879

569.01	4.134	1.825

579.83	4.132	1.789

591.07	4.137	1.769

602.75	4.151	1.763

614.9	4.178	1.768

627.55	4.224	1.787

640.74	4.302	1.824

654.49	4.467	1.879

668.84	4.766	1.78

683.84	4.906	1.484

699.52	4.885	1.233

715.94	4.815	1.052

733.15	4.735	0.925

751.21	4.657	0.828

770.18	4.585	0.762

790.13	4.516	0.711

811.15	4.455	0.665

833.31	4.408	0.626

856.72	4.393	0.537

881.48	4.398	0.42

907.71	4.38	0.358

935.55	4.35	0.328

965.16	4.315	0.315

996.7	4.279	0.314

1030.37	4.243	0.319

1066.4	4.209	0.326

1105.04	4.181	0.329

1146.58	4.16	0.322

1191.37	4.149	0.301

1239.8	4.15	0.26

1653.07	4.04	0.16

