nm	n	k
250.000000	2.344001	0.657539	
260.000000	2.368030	0.599052	
270.000000	2.385390	0.542043	
280.000000	2.396710	0.487052	
290.000000	2.402607	0.434499	
300.000000	2.403679	0.384709	
310.000000	2.400491	0.337926	
320.000000	2.393579	0.294328	
330.000000	2.383441	0.254042	
340.000000	2.370546	0.217156	
350.000000	2.355333	0.183725	
360.000000	2.338219	0.153782	
370.000000	2.319602	0.127344	
380.000000	2.299869	0.104415	
390.000000	2.279408	0.084991	
400.000000	2.258615	0.069059	
410.000000	2.237919	0.056604	
420.000000	2.217806	0.047599	
430.000000	2.198896	0.042012	
440.000000	2.182297	0.039758	
450.000000	2.169248	0.038732	
460.000000	2.158235	0.037708	
470.000000	2.148615	0.036701	
480.000000	2.140059	0.035718	
490.000000	2.132356	0.034766	
500.000000	2.125356	0.033846	
510.000000	2.118949	0.032960	
520.000000	2.113047	0.032109	
530.000000	2.107583	0.031294	
540.000000	2.102502	0.030515	
550.000000	2.097757	0.029771	
560.000000	2.093310	0.029061	
570.000000	2.089130	0.028385	
580.000000	2.085189	0.027741	
590.000000	2.081462	0.027130	
600.000000	2.077930	0.026549	
610.000000	2.074575	0.025998	
620.000000	2.071380	0.025475	
630.000000	2.068333	0.024980	
640.000000	2.065420	0.024511	
650.000000	2.062631	0.024069	
660.000000	2.059956	0.023650	
670.000000	2.057386	0.023255	
680.000000	2.054913	0.022883	
690.000000	2.052530	0.022533	
700.000000	2.050230	0.022204	
710.000000	2.048007	0.021895	
720.000000	2.045857	0.021606	
730.000000	2.043774	0.021335	
740.000000	2.041754	0.021083	
750.000000	2.039792	0.020848	
760.000000	2.037884	0.020629	
770.000000	2.036027	0.020427	
780.000000	2.034219	0.020241	
790.000000	2.032455	0.020070	
800.000000	2.030733	0.019913	
810.000000	2.029050	0.019771	
820.000000	2.027405	0.019643	
830.000000	2.025794	0.019527	
840.000000	2.024216	0.019425	
850.000000	2.022668	0.019336	
860.000000	2.021150	0.019259	
870.000000	2.019659	0.019194	
880.000000	2.018193	0.019140	
890.000000	2.016751	0.019098	
900.000000	2.015332	0.019067	
910.000000	2.013935	0.019047	
920.000000	2.012558	0.019037	
930.000000	2.011199	0.019038	
940.000000	2.009859	0.019048	
950.000000	2.008536	0.019069	
960.000000	2.007229	0.019100	
970.000000	2.005936	0.019140	
980.000000	2.004658	0.019189	
990.000000	2.003394	0.019248	
1000.000000	2.002141	0.019315	
