nm	n	k
250	2.231251	0.441691
260	2.203069	0.442846
270	2.192317	0.474999
280	2.231507	0.524501
290	2.330437	0.533651
300	2.424421	0.463603
310	2.459945	0.360447
320	2.450969	0.27087
330	2.423128	0.204229
340	2.389827	0.155939
350	2.356268	0.120617
360	2.324254	0.094495
370	2.294362	0.075169
371.200775	2.290926	0.073225
372.777283	2.286465	0.070785
374.353821	2.282063	0.068466
375.93042	2.277718	0.066265
377.50708	2.273433	0.064178
379.083801	2.269207	0.0622
380	2.266779	0.061101
380.660583	2.265041	0.06033
382.237427	2.260936	0.058563
383.814331	2.256892	0.056897
385.391296	2.25291	0.055328
386.968292	2.248991	0.053854
388.545349	2.245136	0.052473
390	2.241639	0.051279
390.122437	2.241348	0.051182
391.699615	2.237626	0.049979
393.276825	2.233974	0.048861
394.854065	2.230395	0.047827
396.431396	2.226892	0.046874
398.008759	2.223472	0.046
399.586182	2.220146	0.045204
400	2.219293	0.045005
401.163635	2.216934	0.044455
402.74115	2.213811	0.043732
404.318695	2.210765	0.043033
405.896301	2.207788	0.042357
407.473938	2.204877	0.041703
409.051636	2.202026	0.041071
410	2.20034	0.040701
410.629395	2.199232	0.040459
412.207184	2.196492	0.039867
413.784973	2.193804	0.039294
415.362854	2.191165	0.038739
416.940765	2.188574	0.038202
418.518707	2.186027	0.037681
420	2.183677	0.037207
420.09668	2.183525	0.037177
421.674713	2.181064	0.036688
423.252777	2.178644	0.036214
424.830902	2.176262	0.035754
426.409027	2.173919	0.035308
427.987213	2.171611	0.034876
429.56543	2.169339	0.034456
430	2.16872	0.034343
431.143707	2.167101	0.034048
432.721985	2.164896	0.033653
434.300293	2.162723	0.033269
435.878662	2.160581	0.032896
437.457031	2.158469	0.032534
439.035492	2.156386	0.032181
440	2.155128	0.031971
440.613922	2.154332	0.031839
442.192444	2.152305	0.031507
443.770935	2.150305	0.031184
445.349457	2.14833	0.03087
446.92807	2.146382	0.030564
448.506653	2.144457	0.030267
450	2.142659	0.029994
450.085297	2.142557	0.029979
451.663971	2.14068	0.029698
453.242615	2.138826	0.029424
454.82135	2.136993	0.029158
456.400085	2.135183	0.0289
457.978851	2.133393	0.028648
459.557617	2.131624	0.028403
460	2.131132	0.028335
461.136414	2.129874	0.028164
462.715271	2.128145	0.027932
464.294098	2.126434	0.027706
465.872986	2.124741	0.027486
467.451843	2.123067	0.027272
469.030823	2.12141	0.027064
470	2.120401	0.026939
470.609711	2.11977	0.026861
472.18866	2.118147	0.026663
473.767639	2.116541	0.026471
475.346619	2.11495	0.026283
476.925629	2.113375	0.026101
478.504639	2.111816	0.025923
480	2.110353	0.025759
480.083679	2.110271	0.02575
481.66275	2.108741	0.025581
483.241791	2.107225	0.025417
484.820892	2.105723	0.025258
486.399994	2.104234	0.025102
487.979095	2.102759	0.02495
489.558197	2.101297	0.024803
490	2.10089	0.024762
491.137299	2.099847	0.024659
492.716461	2.09841	0.02452
494.295593	2.096985	0.024383
495.874756	2.095572	0.024251
497.453918	2.094171	0.024122
499.033051	2.092781	0.023996
500	2.091935	0.023921
500.612244	2.091402	0.023874
502.191467	2.090034	0.023755
503.770599	2.088676	0.02364
505.349792	2.087329	0.023527
506.929016	2.085992	0.023418
508.508209	2.084666	0.023311
510	2.083421	0.023214
510.087402	2.083349	0.023208
511.666595	2.082041	0.023107
513.245789	2.080743	0.02301
514.825073	2.079454	0.022915
516.404236	2.078174	0.022822
517.983459	2.076903	0.022733
519.562622	2.075641	0.022646
520	2.075293	0.022622
521.141846	2.074387	0.022561
522.721069	2.073141	0.022479
