nm	n	k
371.200775	3.404125	1.070496	
372.777283	3.410288	1.055789	
374.353821	3.416196	1.041067	
375.930420	3.421851	1.026336	
377.507080	3.427252	1.011599	
379.083801	3.432402	0.996861	
380.660583	3.437300	0.982126	
382.237427	3.441949	0.967400	
383.814331	3.446349	0.952686	
385.391296	3.450502	0.937988	
386.968292	3.454409	0.923313	
388.545349	3.458071	0.908662	
390.122437	3.461490	0.894041	
391.699615	3.464669	0.879454	
393.276825	3.467607	0.864905	
394.854065	3.470308	0.850398	
396.431396	3.472773	0.835937	
398.008759	3.475003	0.821526	
399.586182	3.477001	0.807169	
401.163635	3.478769	0.792869	
402.741150	3.480309	0.778631	
404.318695	3.481623	0.764457	
405.896301	3.482713	0.750352	
407.473938	3.483581	0.736320	
409.051636	3.484229	0.722363	
410.629395	3.484660	0.708485	
412.207184	3.484877	0.694689	
413.784973	3.484881	0.680979	
415.362854	3.484675	0.667358	
416.940765	3.484261	0.653828	
418.518707	3.483642	0.640394	
420.096680	3.482820	0.627058	
421.674713	3.481797	0.613822	
423.252777	3.480577	0.600690	
424.830902	3.479161	0.587665	
426.409027	3.477553	0.574749	
427.987213	3.475753	0.561945	
429.565430	3.473766	0.549254	
431.143707	3.471593	0.536681	
432.721985	3.469237	0.524227	
434.300293	3.466700	0.511894	
435.878662	3.463984	0.499686	
437.457031	3.461092	0.487603	
439.035492	3.458025	0.475648	
440.613922	3.454786	0.463824	
442.192444	3.451377	0.452131	
443.770935	3.447798	0.440573	
445.349457	3.444053	0.429151	
446.928070	3.440142	0.417866	
448.506653	3.436065	0.406721	
450.085297	3.431824	0.395718	
451.663971	3.427418	0.384857	
453.242615	3.422848	0.374141	
454.821350	3.418111	0.363571	
456.400085	3.413204	0.353149	
457.978851	3.408123	0.342876	
459.557617	3.402859	0.332756	
461.136414	3.397400	0.322789	
462.715271	3.391716	0.312978	
464.294098	3.385728	0.303373	
465.872986	3.379493	0.294134	
467.451843	3.373120	0.285256	
469.030823	3.366657	0.276717	
470.609711	3.360133	0.268501	
472.188660	3.353573	0.260592	
473.767639	3.346993	0.252974	
475.346619	3.340408	0.245635	
476.925629	3.333830	0.238561	
478.504639	3.327268	0.231741	
480.083679	3.320730	0.225163	
481.662750	3.314224	0.218817	
483.241791	3.307755	0.212693	
484.820892	3.301328	0.206782	
486.399994	3.294948	0.201074	
487.979095	3.288618	0.195561	
489.558197	3.282342	0.190236	
491.137299	3.276121	0.185090	
492.716461	3.269959	0.180117	
494.295593	3.263857	0.175308	
495.874756	3.257816	0.170659	
497.453918	3.251839	0.166163	
499.033051	3.245925	0.161813	
500.612244	3.240076	0.157604	
502.191467	3.234293	0.153530	
503.770599	3.228575	0.149587	
505.349792	3.222924	0.145770	
506.929016	3.217340	0.142073	
508.508209	3.211822	0.138492	
510.087402	3.206371	0.135023	
511.666595	3.200985	0.131662	
513.245789	3.195667	0.128405	
514.825073	3.190414	0.125248	
516.404236	3.185227	0.122188	
517.983459	3.180104	0.119220	
519.562622	3.175047	0.116342	
521.141846	3.170054	0.113550	
522.721069	3.165125	0.110842	
524.300232	3.160259	0.108214	
525.879456	3.155455	0.105664	
527.458618	3.150714	0.103188	
529.037842	3.146033	0.100785	
530.617004	3.141413	0.098452	
532.196167	3.136853	0.096186	
533.775330	3.132353	0.093986	
535.354492	3.127911	0.091848	
536.933655	3.123527	0.089771	
538.512817	3.119199	0.087753	
540.091919	3.114928	0.085792	
541.671021	3.110713	0.083886	
543.250122	3.106552	0.082033	
544.829224	3.102446	0.080231	
546.408325	3.098393	0.078479	
547.987427	3.094392	0.076775	
549.566528	3.090444	0.075118	
551.145569	3.086546	0.073505	
552.724548	3.082700	0.071937	
554.303589	3.078902	0.070410	
555.882568	3.075154	0.068924	
557.461548	3.071454	0.067478	
559.040527	3.067801	0.066070	
560.619507	3.064196	0.064700	
562.198425	3.060636	0.063365	
563.777344	3.057122	0.062065	
565.356262	3.053653	0.060799	
566.935120	3.050227	0.059565	
568.513977	3.046845	0.058364	
570.092773	3.043506	0.057193	
571.671570	3.040209	0.056052	
573.250366	3.036954	0.054940	
574.829102	3.033739	0.053856	
576.407837	3.030565	0.052799	
577.986572	3.027430	0.051769	
579.565247	3.024334	0.050764	
581.143921	3.021276	0.049784	
582.722534	3.018256	0.048828	
584.301147	3.015274	0.047896	
585.879700	3.012328	0.046987	
587.458252	3.009418	0.046099	
589.036743	3.006544	0.045233	
590.615234	3.003704	0.044388	
592.193726	3.000899	0.043563	
593.772095	2.998128	0.042758	
595.350464	2.995391	0.041972	
596.928833	2.992686	0.041205	
598.507202	2.990013	0.040456	
600.085449	2.987373	0.039724	
601.663696	2.984764	0.039009	
603.241943	2.982185	0.038311	
604.820129	2.979637	0.037629	
606.398254	2.977119	0.036962	
607.976379	2.974631	0.036311	
609.554443	2.972172	0.035675	
611.132446	2.969741	0.035053	
612.710449	2.967338	0.034445	
614.288391	2.964963	0.033851	
615.866333	2.962616	0.033270	
617.444214	2.960295	0.032702	
619.021973	2.958001	0.032147	
620.599731	2.955733	0.031604	
622.177551	2.953491	0.031073	
623.755249	2.951274	0.030554	
625.332886	2.949082	0.030045	
626.910461	2.946915	0.029548	
628.488037	2.944772	0.029062	
630.065552	2.942652	0.028586	
631.643005	2.940557	0.028120	
633.220398	2.938484	0.027665	
634.797791	2.936434	0.027219	
636.375122	2.934407	0.026782	
637.952393	2.932402	0.026354	
639.529602	2.930419	0.025936	
641.106750	2.928457	0.025526	
642.683899	2.926516	0.025125	
644.260925	2.924597	0.024732	
645.837952	2.922698	0.024347	
647.414917	2.920819	0.023970	
648.991821	2.918960	0.023601	
650.568665	2.917121	0.023239	
652.145447	2.915302	0.022885	
653.722168	2.913502	0.022537	
655.298828	2.911720	0.022197	
656.875488	2.909957	0.021863	
658.452026	2.908213	0.021537	
660.028503	2.906486	0.021216	
661.604980	2.904778	0.020902	
663.181335	2.903087	0.020594	
664.757690	2.901413	0.020293	
666.333923	2.899757	0.019997	
667.910156	2.898117	0.019706	
669.486267	2.896494	0.019422	
671.062378	2.894888	0.019143	
672.638306	2.893298	0.018869	
