Wavelength(um)	n	k
1.03E-01	3.27E-01	7.26E-01
1.08E-01	3.63E-01	8.47E-01
1.13E-01	3.92E-01	9.46E-01
1.18E-01	4.23E-01	1.04E+00
1.24E-01	4.59E-01	1.14E+00
1.31E-01	4.97E-01	1.24E+00
1.38E-01	5.43E-01	1.35E+00
1.46E-01	5.97E-01	1.47E+00
1.55E-01	6.60E-01	1.60E+00
1.65E-01	7.35E-01	1.74E+00
1.77E-01	8.32E-01	1.89E+00
1.91E-01	9.51E-01	2.07E+00
2.07E-01	1.11E+00	2.28E+00
2.25E-01	1.35E+00	2.51E+00
2.48E-01	1.69E+00	2.76E+00
2.58E-01	1.86E+00	2.85E+00
2.70E-01	2.07E+00	2.93E+00
2.82E-01	2.30E+00	2.99E+00
2.95E-01	2.56E+00	3.04E+00
3.10E-01	2.87E+00	3.06E+00
3.26E-01	3.21E+00	3.00E+00
3.44E-01	3.55E+00	2.88E+00
3.54E-01	3.73E+00	2.79E+00
3.65E-01	3.90E+00	2.66E+00
3.88E-01	4.17E+00	2.38E+00
4.13E-01	4.38E+00	2.02E+00
4.43E-01	4.47E+00	1.64E+00
4.77E-01	4.49E+00	1.28E+00
4.96E-01	4.47E+00	1.12E+00
5.17E-01	4.46E+00	9.69E-01
5.64E-01	4.36E+00	6.90E-01
6.20E-01	4.23E+00	4.61E-01
6.53E-01	4.17E+00	3.63E-01
6.89E-01	4.09E+00	2.71E-01
7.29E-01	4.01E+00	1.99E-01
7.75E-01	3.93E+00	1.36E-01
8.27E-01	3.86E+00	8.12E-02
8.86E-01	3.77E+00	4.01E-02
9.54E-01	3.68E+00	0.00E+00
1.03E+00	3.61E+00	0.00E+00
1.13E+00	3.57E+00	0.00E+00
1.24E+00	3.54E+00	0.00E+00
1.38E+00	3.50E+00	0.00E+00
1.55E+00	3.48E+00	0.00E+00
1.77E+00	3.45E+00	0.00E+00
2.07E+00	3.44E+00	0.00E+00
