wavelength	ITO	aSi_4nm	aSi_8nm	aSi_12nm	aSiC_12nm	aSiC_18nm
250.00	0.84	0.84	0.84	0.85	0.85	0.85
260.00	0.83	0.84	0.83	0.84	0.84	0.84
270.00	0.82	0.83	0.82	0.83	0.83	0.83
280.00	0.82	0.82	0.81	0.81	0.82	0.82
290.00	0.80	0.81	0.79	0.79	0.81	0.81
300.00	0.79	0.79	0.77	0.77	0.79	0.79
310.00	0.78	0.78	0.75	0.73	0.78	0.77
320.00	0.76	0.76	0.73	0.71	0.76	0.75
330.00	0.74	0.75	0.72	0.69	0.75	0.74
340.00	0.72	0.73	0.71	0.67	0.73	0.73
350.00	0.72	0.72	0.70	0.66	0.72	0.72
360.00	0.73	0.73	0.72	0.67	0.73	0.72
370.00	0.72	0.73	0.74	0.69	0.74	0.74
380.00	0.72	0.73	0.74	0.71	0.74	0.75
390.00	0.74	0.75	0.77	0.73	0.76	0.76
400.00	0.77	0.77	0.79	0.76	0.78	0.78
410.00	0.79	0.79	0.82	0.79	0.80	0.80
420.00	0.81	0.81	0.84	0.82	0.82	0.83
430.00	0.83	0.83	0.86	0.85	0.84	0.85
440.00	0.85	0.85	0.88	0.88	0.86	0.87
450.00	0.87	0.87	0.90	0.90	0.88	0.89
460.00	0.88	0.88	0.91	0.92	0.89	0.90
470.00	0.90	0.90	0.92	0.93	0.90	0.91
480.00	0.91	0.91	0.93	0.94	0.91	0.92
490.00	0.92	0.91	0.94	0.95	0.92	0.93
500.00	0.92	0.92	0.94	0.96	0.93	0.93
510.00	0.93	0.93	0.95	0.96	0.93	0.94
520.00	0.94	0.94	0.95	0.96	0.94	0.94
530.00	0.94	0.94	0.95	0.96	0.95	0.95
540.00	0.95	0.95	0.95	0.96	0.95	0.95
550.00	0.95	0.95	0.95	0.96	0.95	0.95
560.00	0.95	0.95	0.95	0.95	0.96	0.95
570.00	0.95	0.96	0.95	0.95	0.96	0.96
580.00	0.95	0.96	0.95	0.95	0.96	0.96
