wavelength	ITO	aSi_4nm	aSi_8nm	aSi_12nm	aSiC_12nm	aSiC_18nm
300.00	0.12	0.16	0.09	0.05	0.105542676	0.079436357
310.00	0.13	0.19	0.10	0.06	0.129221717	0.094134493
320.00	0.16	0.22	0.12	0.08	0.152521137	0.113791361
330.00	0.19	0.26	0.15	0.09	0.186184066	0.141462197
340.00	0.21	0.27	0.16	0.11	0.210099889	0.165619834
350.00	0.24	0.30	0.19	0.13	0.238812955	0.191703368
360.00	0.27	0.34	0.22	0.15	0.272812471	0.22524338
370.00	0.30	0.38	0.26	0.18	0.313654897	0.262730383
380.00	0.33	0.40	0.30	0.21	0.352600168	0.303909192
390.00	0.37	0.44	0.33	0.25	0.388933769	0.342073681
400.00	0.42	0.47	0.38	0.30	0.430648734	0.387891829
410.00	0.46	0.51	0.42	0.34	0.47084247	0.430832198
420.00	0.50	0.55	0.46	0.39	0.515066737	0.475965494
430.00	0.54	0.58	0.51	0.44	0.552744909	0.519193049
440.00	0.58	0.62	0.55	0.49	0.593109513	0.560448532
450.00	0.62	0.65	0.59	0.54	0.63037381	0.59989387
460.00	0.66	0.68	0.62	0.58	0.660569632	0.633797822
470.00	0.69	0.70	0.65	0.62	0.687939947	0.664596008
480.00	0.72	0.73	0.68	0.66	0.716575281	0.695448029
490.00	0.74	0.75	0.71	0.69	0.739029281	0.71683487
500.00	0.76	0.77	0.73	0.72	0.759646905	0.737918599
510.00	0.79	0.79	0.75	0.75	0.781627538	0.757661811
520.00	0.81	0.81	0.77	0.77	0.797781521	0.775092436
530.00	0.82	0.82	0.78	0.79	0.811736381	0.788571224
540.00	0.83	0.83	0.80	0.81	0.824119651	0.801943522
550.00	0.85	0.85	0.81	0.82	0.837523365	0.814690746
560.00	0.85	0.86	0.82	0.84	0.84744754	0.822564328
570.00	0.86	0.87	0.83	0.84	0.856308489	0.832192737
580.00	0.87	0.87	0.83	0.85	0.861223142	0.837124753
590.00	0.87	0.88	0.84	0.86	0.868113362	0.843205772
600.00	0.88	0.88	0.84	0.86	0.876425389	0.851308884
610.00	0.90	0.90	0.86	0.87	0.890983575	0.864123104
620.00	0.89	0.90	0.86	0.87	0.888276495	0.862865446
630.00	0.90	0.90	0.86	0.87	0.893793781	0.866634098
640.00	0.90	0.90	0.86	0.88	0.894418943	0.869409364
650.00	0.90	0.90	0.86	0.88	0.898009394	0.871817402
660.00	0.90	0.91	0.86	0.88	0.899992093	0.87514629
670.00	0.90	0.91	0.87	0.88	0.901417733	0.874673671
680.00	0.90	0.91	0.87	0.88	0.904097728	0.877230277
690.00	0.90	0.91	0.87	0.88	0.90269211	0.875844551
700.00	0.90	0.91	0.87	0.88	0.904922034	0.875740163
710.00	0.89	0.90	0.86	0.88	0.900042287	0.872018744
720.00	0.89	0.90	0.86	0.88	0.89761816	0.869329155
730.00	0.89	0.90	0.86	0.87	0.893500383	0.867616483
740.00	0.88	0.90	0.86	0.87	0.891920955	0.86505334
750.00	0.88	0.89	0.85	0.87	0.886928999	0.860012848
760.00	0.87	0.88	0.85	0.87	0.884037706	0.855603888
770.00	0.86	0.88	0.84	0.86	0.876132311	0.849755957
780.00	0.86	0.87	0.84	0.85	0.872758087	0.847335079
790.00	0.85	0.86	0.83	0.85	0.863741549	0.838977906
800.00	0.84	0.86	0.82	0.84	0.856391321	0.832339679
810.00	0.83	0.85	0.81	0.84	0.849768302	0.823989368
820.00	0.74	0.76	0.73	0.75	0.762753931	0.733517522
830.00	0.32	0.32	0.31	0.32	0.330435104	0.309542348
840.00	0.05	0.05	0.05	0.05	0.053701708	0.052463979
850.00	0.01	0.01	0.01	0.01	0.009343381	0.007487787
860.00	0.00	0.00	0.00	0.00	0.003395779	0.002008185
870.00	0.00	0.00	0.00	0.00	0.0011416	0.001453593
880.00	0.00	0.00	0.00	0.00	0.000587255	0.00044467
890.00	0.00	0.00	0.00	0.00	6.33031E-05	8.70536E-05
900.00	0.00	0.00	0.00	0.00	5.05676E-06	-0.000234874
